Date,Max_Temp,Min_Temp
2025-12-30,5.7,0.9
2025-12-31,5.1,-1.1
2026-01-01,4.9,-1.7
2026-01-02,5.2,0.5
2026-01-03,4.0,-0.3
2026-01-04,3.5,-1.5
2026-01-05,-0.1,-4.0
2026-01-06,1.9,-3.3
